Use,RND,Rating2.0,ACS,K:D,ADR,KAST,KPR,APR,FKPR,FDPR,K,D,A,FK,FD,Agent,Player
(1) 25%,16,0.49,119.0,0.4,84.0,63%,0.38,0.31,0.0,0.0,6,15,5,0,0,sova,yoyo
(10) 53%,212,0.41,152.0,0.78,62.0,68%,0.54,0.21,0.05,0.14,114,147,45,1,3,sova,siufatbb
(5) 26%,109,0.9,154.4,0.86,96.0,80%,0.51,0.34,0.02,0.07,56,65,37,1,3,fade,siufatbb
(3) 16%,66,,123.7,0.68,,,0.41,0.41,,,27,40,27,0,0,astra,siufatbb
(1) 5%,17,1.33,237.0,1.15,143.6,88%,0.88,0.47,0.0,0.0,15,13,8,0,0,skye,siufatbb
(6) 33%,131,0.75,197.8,0.98,105.5,73%,0.72,0.2,0.13,0.22,94,96,26,6,10,raze,satoshi
(5) 28%,110,,182.8,0.81,,,0.61,0.32,,,67,83,35,0,0,neon,satoshi
(4) 22%,81,0.25,121.8,0.5,55.2,46%,0.42,0.16,0.08,0.18,34,68,13,3,7,waylay,satoshi
(2) 11%,45,,285.0,1.34,,,1.04,0.13,,,47,35,6,0,0,chamber,satoshi
(1) 6%,23,,195.0,1.2,,,0.78,0.26,,,18,15,6,0,0,vyse,satoshi
(4) 24%,81,1.19,224.5,1.14,131.1,74%,0.79,0.41,0.08,0.1,64,56,33,3,4,kayo,jowa
(2) 12%,45,1.04,174.0,1.04,103.2,69%,0.62,0.29,0.09,0.09,28,27,13,4,4,astra,jowa
(2) 12%,39,1.44,266.0,1.61,160.5,85%,0.95,0.23,0.03,0.05,37,23,9,1,2,sova,jowa
(2) 12%,36,1.15,184.5,1.26,112.9,78%,0.67,0.58,0.03,0.0,24,19,21,1,0,skye,jowa
(1) 6%,24,,179.0,1.07,,,0.67,0.13,,,16,15,3,0,0,killjoy,jowa
(1) 6%,22,0.91,185.0,0.88,130.9,55%,0.68,0.32,0.14,0.14,15,17,7,3,3,omen,jowa
(1) 6%,22,1.14,174.0,1.08,113.2,82%,0.64,0.55,0.0,0.05,14,13,12,0,1,breach,jowa
(1) 6%,21,1.34,198.0,1.44,149.1,76%,0.62,0.67,0.05,0.0,13,9,14,1,0,fade,jowa
(1) 6%,20,0.86,166.0,0.71,97.7,90%,0.6,0.45,0.05,0.2,12,17,9,1,4,sage,jowa
(1) 6%,17,1.47,241.0,2.13,145.2,94%,1.0,0.35,0.12,0.06,17,8,6,2,1,yoru,jowa
(1) 6%,17,1.06,233.0,0.8,156.8,76%,0.71,0.53,0.0,0.12,12,15,9,0,2,brimstone,jowa
(13) 81%,266,1.05,200.2,0.99,146.9,68%,0.69,0.31,0.07,0.18,184,185,83,6,15,viper,yosemite
(2) 13%,51,,142.5,0.76,,,0.49,0.16,,,25,33,8,0,0,cypher,yosemite
(1) 6%,24,,218.0,1.29,,,0.75,0.25,,,18,14,6,0,0,killjoy,yosemite
(7) 37%,153,1.3,206.3,1.08,151.5,64%,0.76,0.24,0.05,0.0,117,108,37,1,0,omen,spring
