Map (#),WIN%,W,L,ATK 1st,DEF 1st,ATK RWin%,RW,RL,DEF RWin%,RW.1,RL.1,Team
Icebox (72),65%,47,25,40,31,58%,445,327,49%,368,377,Evil Geniuses
Breeze (27),48%,13,14,10,17,42%,121,169,59%,180,125,Evil Geniuses
Fracture (22),68%,15,7,7,15,55%,118,97,60%,140,95,Evil Geniuses
Pearl (21),48%,10,11,11,10,53%,121,109,46%,106,124,Evil Geniuses
Lotus (27),48%,13,14,10,17,54%,147,125,47%,139,155,Evil Geniuses
Sunset (9),44%,4,5,5,4,51%,49,48,39%,37,57,Evil Geniuses
Abyss (5),60%,3,2,2,3,50%,24,24,56%,30,24,Evil Geniuses
Bind (88),63%,55,33,49,39,53%,477,422,58%,525,373,NRG
Haven (118),72%,85,33,62,56,57%,684,506,60%,723,482,NRG
Split (54),59%,32,22,27,27,48%,260,277,61%,352,229,NRG
Ascent (67),54%,36,31,23,44,45%,293,356,58%,427,311,NRG
Icebox (66),70%,46,20,35,31,55%,386,321,58%,402,295,NRG
Breeze (30),73%,22,8,13,17,55%,166,135,58%,180,129,NRG
Fracture (16),44%,7,9,10,6,55%,107,86,42%,69,96,NRG
Pearl (22),68%,15,7,16,6,54%,139,117,54%,128,111,NRG
Lotus (27),59%,16,11,18,9,56%,174,137,49%,139,143,NRG
Sunset (16),31%,5,11,10,6,47%,93,104,48%,74,81,NRG
Abyss (8),63%,5,3,5,3,58%,58,42,48%,41,44,NRG
Bind (27),59%,16,11,16,11,56%,171,133,48%,131,142,LOUD
Haven (27),70%,19,8,12,15,54%,138,119,55%,156,126,LOUD
Split (32),56%,18,14,18,14,52%,183,167,49%,161,168,LOUD
Ascent (45),69%,31,14,34,11,52%,258,237,60%,249,166,LOUD
Icebox (25),60%,15,10,17,8,53%,150,131,55%,137,114,LOUD
Breeze (13),85%,11,2,7,6,66%,92,48,55%,77,62,LOUD
Fracture (19),58%,11,8,11,8,55%,108,88,49%,103,109,LOUD
Pearl (17),41%,7,10,9,8,56%,105,84,46%,82,98,LOUD
Lotus (19),47%,9,10,5,14,51%,106,102,48%,106,116,LOUD
Sunset (12),50%,6,6,4,8,59%,63,44,50%,62,63,LOUD
Abyss (1),0%,0,1,0,1,0%,0,7,50%,6,6,LOUD
Bind (34),56%,19,15,21,13,52%,200,181,53%,185,164,FURIA
Haven (44),55%,24,20,23,21,53%,261,230,48%,235,250,FURIA
Split (27),48%,13,14,8,19,48%,122,132,49%,154,159,FURIA
Ascent (62),58%,36,26,37,25,51%,330,315,55%,335,276,FURIA
Icebox (46),50%,23,23,25,20,55%,261,213,43%,207,274,FURIA
Breeze (26),50%,13,13,16,10,54%,160,137,48%,122,132,FURIA
Fracture (11),45%,5,6,3,8,54%,57,49,39%,45,71,FURIA
Pearl (9),33%,3,6,5,4,48%,48,52,36%,34,61,FURIA
Lotus (13),31%,4,9,8,5,57%,80,60,32%,43,93,FURIA
