,Match_ID,date_str,Team,T1_Won,R2.0_T1,ACS_T1,K_T1,D_T1,A_T1,+/- K/D_T1,KAST_T1,ADR_T1,HS%_T1,FK_T1,FD_T1,+/- FK/FD_T1,vs Team,R2.0_T2,ACS_T2,K_T2,D_T2,A_T2,+/- K/D_T2,KAST_T2,ADR_T2,HS%_T2,FK_T2,FD_T2,+/- FK/FD_T2
479,2024-05-05_G2 Esports/LOUD,2024-05-05,G2 Esports,0,0.7939999999999999,166.6,22.8,30.2,11.0,-7.4,65.4,113.0,23.2,3.0,5.2,-2.2,LOUD,0.7939999999999999,166.6,22.8,30.2,11.0,-7.4,65.4,113.0,23.2,3.0,5.2,-2.2
480,2024-05-05_Nova Esports/Titan Esports Club,2024-05-05,Nova Esports,1,0.0,219.2,30.4,21.6,13.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,Titan Esports Club,0.0,219.2,30.4,21.6,13.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0
481,2024-05-05_Paper Rex/T1,2024-05-05,Paper Rex,1,1.262,235.6,29.6,19.8,12.4,9.8,80.6,152.6,36.4,4.0,2.8,1.2,T1,1.262,235.6,29.6,19.8,12.4,9.8,80.6,152.6,36.4,4.0,2.8,1.2
482,2024-05-08_100 Thieves/LOUD,2024-05-08,100 Thieves,1,1.116,221.2,29.2,20.4,9.8,8.8,80.4,144.6,27.4,4.8,2.4,2.4,LOUD,1.116,221.2,29.2,20.4,9.8,8.8,80.4,144.6,27.4,4.8,2.4,2.4
483,2024-05-08_All Gamers/Trace Esports,2024-05-08,All Gamers,0,0.0,191.0,27.8,33.0,11.0,-5.2,0.0,0.0,0.0,0.0,0.0,0.0,Trace Esports,0.0,191.0,27.8,33.0,11.0,-5.2,0.0,0.0,0.0,0.0,0.0,0.0
484,2024-05-08_Cloud9/G2 Esports,2024-05-08,Cloud9,0,0.776,177.0,28.8,35.2,10.0,-6.4,65.2,118.8,28.4,4.8,4.6,0.2,G2 Esports,0.776,177.0,28.8,35.2,10.0,-6.4,65.2,118.8,28.4,4.8,4.6,0.2
485,2024-05-08_Dragon Ranger Gaming/Nova Esports,2024-05-08,Dragon Ranger Gaming,1,0.0,228.4,33.2,26.6,15.4,6.6,0.0,0.0,0.0,0.0,0.0,0.0,Nova Esports,0.0,228.4,33.2,26.6,15.4,6.6,0.0,0.0,0.0,0.0,0.0,0.0
486,2024-05-08_FNATIC/Team Liquid,2024-05-08,FNATIC,1,0.86,210.6,50.0,46.6,23.8,3.4,77.4,138.4,22.8,6.4,7.2,-0.8,Team Liquid,0.86,210.6,50.0,46.6,23.8,3.4,77.4,138.4,22.8,6.4,7.2,-0.8
487,2024-05-08_Natus Vincere/Team Heretics,2024-05-08,Natus Vincere,0,1.046,202.6,32.6,35.2,15.0,-2.6,77.2,139.4,30.8,4.0,5.2,-1.2,Team Heretics,1.046,202.6,32.6,35.2,15.0,-2.6,77.2,139.4,30.8,4.0,5.2,-1.2
488,2024-05-09_100 Thieves/LEVIATÁN,2024-05-09,100 Thieves,1,1.186,211.6,48.6,43.0,16.2,5.6,71.2,135.4,28.0,5.8,7.2,-1.4,LEVIATÁN,1.186,211.6,48.6,43.0,16.2,5.6,71.2,135.4,28.0,5.8,7.2,-1.4
