,Match_ID,date_str,Team,T1_Won,R2.0_T1,ACS_T1,K_T1,D_T1,A_T1,+/- K/D_T1,KAST_T1,ADR_T1,HS%_T1,FK_T1,FD_T1,+/- FK/FD_T1,vs Team,R2.0_T2,ACS_T2,K_T2,D_T2,A_T2,+/- K/D_T2,KAST_T2,ADR_T2,HS%_T2,FK_T2,FD_T2,+/- FK/FD_T2
28,2023-03-02_DRX/LOUD,2023-03-02,DRX,0,0.9179999999999999,195.6,67.2,71.8,28.8,-4.6,69.0,126.0,22.2,8.8,11.2,-2.4,LOUD,0.9179999999999999,195.6,67.2,71.8,28.8,-4.6,69.0,126.0,22.2,8.8,11.2,-2.4
29,2023-03-03_FNATIC/Natus Vincere,2023-03-03,FNATIC,1,1.068,208.2,48.2,39.2,19.0,9.0,76.0,134.2,22.2,5.8,7.2,-1.4,Natus Vincere,1.068,208.2,48.2,39.2,19.0,9.0,76.0,134.2,22.2,5.8,7.2,-1.4
30,2023-03-04_FNATIC/LOUD,2023-03-04,FNATIC,1,0.9640000000000001,209.0,80.2,76.0,31.0,4.2,73.4,137.8,23.2,10.8,11.2,-0.4,LOUD,0.9640000000000001,209.0,80.2,76.0,31.0,4.2,73.4,137.8,23.2,10.8,11.2,-0.4
31,2023-03-25_DRX/ZETA DIVISION,2023-03-25,DRX,1,1.2,217.2,27.4,21.4,13.8,6.0,76.2,130.8,25.4,3.6,3.6,0.0,ZETA DIVISION,1.2,217.2,27.4,21.4,13.8,6.0,76.2,130.8,25.4,3.6,3.6,0.0
32,2023-03-25_Global Esports/T1,2023-03-25,Global Esports,0,0.858,186.4,36.6,42.4,19.2,-5.8,73.6,119.4,22.0,6.2,5.4,0.8,T1,0.858,186.4,36.6,42.4,19.2,-5.8,73.6,119.4,22.0,6.2,5.4,0.8
33,2023-03-26_DetonatioN FocusMe/Paper Rex,2023-03-26,DetonatioN FocusMe,0,1.016,213.6,31.2,30.6,16.4,0.6,76.8,146.2,31.2,4.8,3.6,1.2,Paper Rex,1.016,213.6,31.2,30.6,16.4,0.6,76.8,146.2,31.2,4.8,3.6,1.2
34,2023-03-26_TALON/Team Secret,2023-03-26,TALON,0,0.9833333333333334,197.83333333333334,31.333333333333332,35.0,14.833333333333334,-3.6666666666666665,71.16666666666667,130.33333333333334,26.166666666666668,4.5,4.666666666666667,-0.16666666666666666,Team Secret,0.9833333333333334,197.83333333333334,31.333333333333332,35.0,14.833333333333334,-3.6666666666666665,71.16666666666667,130.33333333333334,26.166666666666668,4.5,4.666666666666667,-0.16666666666666666
35,2023-03-27_FNATIC/Giants Gaming,2023-03-27,FNATIC,1,1.048,214.8,31.2,23.8,15.8,7.4,81.2,134.6,23.6,4.6,3.4,1.2,Giants Gaming,1.048,214.8,31.2,23.8,15.8,7.4,81.2,134.6,23.6,4.6,3.4,1.2
36,2023-03-27_Gen.G/Rex Regum Qeon,2023-03-27,Gen.G,1,1.1666666666666667,220.33333333333334,26.5,22.666666666666668,15.666666666666666,3.8333333333333335,75.5,145.0,27.833333333333332,3.3333333333333335,3.5,-0.16666666666666666,Rex Regum Qeon,1.1666666666666667,220.33333333333334,26.5,22.666666666666668,15.666666666666666,3.8333333333333335,75.5,145.0,27.833333333333332,3.3333333333333335,3.5,-0.16666666666666666
37,2023-03-27_KOI/Natus Vincere,2023-03-27,KOI,1,0.95,210.6,42.6,38.0,21.2,4.6,74.4,144.2,24.8,6.4,5.2,1.2,Natus Vincere,0.95,210.6,42.6,38.0,21.2,4.6,74.4,144.2,24.8,6.4,5.2,1.2
38,2023-03-28_FUT Esports/Team Heretics,2023-03-28,FUT Esports,1,1.332,234.2,32.2,22.6,15.2,9.6,79.8,149.6,24.8,5.0,2.8,2.2,Team Heretics,1.332,234.2,32.2,22.6,15.2,9.6,79.8,149.6,24.8,5.0,2.8,2.2
39,2023-03-28_Team Liquid/Team Vitality,2023-03-28,Team Liquid,0,0.942,196.6,40.8,36.4,20.0,4.4,73.8,125.6,31.6,7.2,4.2,3.0,Team Vitality,0.942,196.6,40.8,36.4,20.0,4.4,73.8,125.6,31.6,7.2,4.2,3.0
40,2023-03-29_BBL Esports/Karmine Corp,2023-03-29,BBL Esports,0,0.762,179.6,37.2,44.8,12.6,-7.6,66.8,122.0,31.4,4.4,7.8,-3.4,Karmine Corp,0.762,179.6,37.2,44.8,12.6,-7.6,66.8,122.0,31.4,4.4,7.8,-3.4
41,2023-03-29_Giants Gaming/Natus Vincere,2023-03-29,Giants Gaming,0,0.9400000000000001,198.0,56.0,56.8,21.4,-0.8,72.8,132.4,26.4,8.0,8.0,0.0,Natus Vincere,0.9400000000000001,198.0,56.0,56.8,21.4,-0.8,72.8,132.4,26.4,8.0,8.0,0.0
42,2023-03-30_FUT Esports/Team Liquid,2023-03-30,FUT Esports,0,0.7883333333333334,194.0,32.5,39.166666666666664,16.0,-6.666666666666667,67.83333333333333,125.5,26.0,4.5,5.666666666666667,-1.1666666666666667,Team Liquid,0.7883333333333334,194.0,32.5,39.166666666666664,16.0,-6.666666666666667,67.83333333333333,125.5,26.0,4.5,5.666666666666667,-1.1666666666666667
43,2023-03-30_KOI/Team Vitality,2023-03-30,KOI,0,0.9359999999999999,198.4,35.4,36.4,13.6,-1.0,72.4,131.8,28.8,3.8,6.2,-2.4,Team Vitality,0.9359999999999999,198.4,35.4,36.4,13.6,-1.0,72.4,131.8,28.8,3.8,6.2,-2.4
44,2023-03-31_BBL Esports/FNATIC,2023-03-31,BBL Esports,0,0.85,198.2,45.4,47.8,14.8,-2.4,72.4,131.2,30.8,6.8,6.2,0.6,FNATIC,0.85,198.2,45.4,47.8,14.8,-2.4,72.4,131.2,30.8,6.8,6.2,0.6
45,2023-03-31_Karmine Corp/Team Heretics,2023-03-31,Karmine Corp,0,0.82,167.8,18.6,25.8,4.4,-7.2,63.4,110.4,32.2,3.2,3.4,-0.2,Team Heretics,0.82,167.8,18.6,25.8,4.4,-7.2,63.4,110.4,32.2,3.2,3.4,-0.2
46,2023-04-01_100 Thieves/Sentinels,2023-04-01,100 Thieves,0,0.8480000000000001,185.4,48.8,56.0,23.6,-7.2,68.2,121.2,24.0,9.2,6.0,3.2,Sentinels,0.8480000000000001,185.4,48.8,56.0,23.6,-7.2,68.2,121.2,24.0,9.2,6.0,3.2
47,2023-04-01_FURIA/KRÜ Esports,2023-04-01,FURIA,1,1.128,213.4,31.6,26.2,12.4,5.4,75.8,137.6,27.0,4.0,4.4,-0.4,KRÜ Esports,1.128,213.4,31.6,26.2,12.4,5.4,75.8,137.6,27.0,4.0,4.4,-0.4
48,2023-04-01_Rex Regum Qeon/ZETA DIVISION,2023-04-01,Rex Regum Qeon,0,0.786,192.0,43.0,46.8,19.6,-3.8,71.6,123.4,25.2,5.2,7.4,-2.2,ZETA DIVISION,0.786,192.0,43.0,46.8,19.6,-3.8,71.6,123.4,25.2,5.2,7.4,-2.2
49,2023-04-01_T1/TALON,2023-04-01,T1,1,1.19,209.16666666666666,25.333333333333332,21.5,12.333333333333334,3.8333333333333335,78.16666666666667,128.83333333333334,21.833333333333332,3.1666666666666665,3.5,-0.3333333333333333,TALON,1.19,209.16666666666666,25.333333333333332,21.5,12.333333333333334,3.8333333333333335,78.16666666666667,128.83333333333334,21.833333333333332,3.1666666666666665,3.5,-0.3333333333333333
50,2023-04-02_Cloud9/Evil Geniuses,2023-04-02,Cloud9,1,0.86,218.0,34.6,32.8,18.2,1.8,75.6,143.6,19.2,5.0,4.2,0.8,Evil Geniuses,0.86,218.0,34.6,32.8,18.2,1.8,75.6,143.6,19.2,5.0,4.2,0.8
51,2023-04-02_DetonatioN FocusMe/Gen.G,2023-04-02,DetonatioN FocusMe,0,1.0859999999999999,211.4,43.0,40.0,21.8,3.0,80.2,140.8,29.2,5.6,6.2,-0.6,Gen.G,1.0859999999999999,211.4,43.0,40.0,21.8,3.0,80.2,140.8,29.2,5.6,6.2,-0.6
52,2023-04-02_LOUD/MIBR,2023-04-02,LOUD,1,1.106,215.0,49.2,41.0,26.6,8.2,77.6,136.8,20.6,7.4,5.8,1.6,MIBR,1.106,215.0,49.2,41.0,26.6,8.2,77.6,136.8,20.6,7.4,5.8,1.6
53,2023-04-02_Paper Rex/Team Secret,2023-04-02,Paper Rex,0,0.9480000000000001,191.8,46.4,50.2,20.0,-3.8,67.8,128.8,23.2,6.0,8.2,-2.2,Team Secret,0.9480000000000001,191.8,46.4,50.2,20.0,-3.8,67.8,128.8,23.2,6.0,8.2,-2.2
54,2023-04-03_DRX/Global Esports,2023-04-03,DRX,1,0.8719999999999999,196.6,36.8,38.6,16.0,-1.8,69.2,129.6,26.8,4.8,6.2,-1.4,Global Esports,0.8719999999999999,196.6,36.8,38.6,16.0,-1.8,69.2,129.6,26.8,4.8,6.2,-1.4
55,2023-04-03_LEVIATÁN/NRG Esports,2023-04-03,LEVIATÁN,1,1.152,203.2,29.8,24.4,15.2,5.4,76.6,128.2,20.4,5.0,3.0,2.0,NRG Esports,1.152,203.2,29.8,24.4,15.2,5.4,76.6,128.2,20.4,5.0,3.0,2.0
56,2023-04-05_FUT Esports/Team Vitality,2023-04-05,FUT Esports,1,1.166,213.2,31.2,23.8,14.6,7.4,79.6,135.0,27.4,4.0,4.0,0.0,Team Vitality,1.166,213.2,31.2,23.8,14.6,7.4,79.6,135.0,27.4,4.0,4.0,0.0
57,2023-04-06_BBL Esports/Natus Vincere,2023-04-06,BBL Esports,0,0.78,184.4,28.2,33.2,10.4,-5.0,65.0,121.4,24.8,4.2,4.6,-0.4,Natus Vincere,0.78,184.4,28.2,33.2,10.4,-5.0,65.0,121.4,24.8,4.2,4.6,-0.4
58,2023-04-06_FNATIC/Team Heretics,2023-04-06,FNATIC,1,1.228,231.2,29.2,18.2,12.0,11.0,89.2,151.0,21.8,5.4,1.6,3.8,Team Heretics,1.228,231.2,29.2,18.2,12.0,11.0,89.2,151.0,21.8,5.4,1.6,3.8
59,2023-04-07_Giants Gaming/KOI,2023-04-07,Giants Gaming,1,1.064,232.0,32.8,20.6,13.0,12.2,83.0,146.0,28.0,4.8,2.8,2.0,KOI,1.064,232.0,32.8,20.6,13.0,12.2,83.0,146.0,28.0,4.8,2.8,2.0
60,2023-04-07_Karmine Corp/Team Liquid,2023-04-07,Karmine Corp,0,0.4600000000000001,133.2,14.8,26.8,6.8,-12.0,56.2,86.0,32.2,2.6,4.0,-1.4,Team Liquid,0.4600000000000001,133.2,14.8,26.8,6.8,-12.0,56.2,86.0,32.2,2.6,4.0,-1.4
61,2023-04-08_Cloud9/LOUD,2023-04-08,Cloud9,0,0.9480000000000001,190.6,39.6,46.4,18.6,-6.8,67.2,123.2,23.0,6.4,5.8,0.6,LOUD,0.9480000000000001,190.6,39.6,46.4,18.6,-6.8,67.2,123.2,23.0,6.4,5.8,0.6
62,2023-04-08_DetonatioN FocusMe/Rex Regum Qeon,2023-04-08,DetonatioN FocusMe,0,0.588,169.4,21.6,32.8,8.4,-11.2,68.2,113.2,28.2,3.0,4.4,-1.4,Rex Regum Qeon,0.588,169.4,21.6,32.8,8.4,-11.2,68.2,113.2,28.2,3.0,4.4,-1.4
63,2023-04-08_FURIA/LEVIATÁN,2023-04-08,FURIA,1,1.058,198.8,45.2,42.6,18.4,2.6,77.4,128.6,24.6,6.4,6.6,-0.2,LEVIATÁN,1.058,198.8,45.2,42.6,18.4,2.6,77.4,128.6,24.6,6.4,6.6,-0.2
64,2023-04-08_Paper Rex/T1,2023-04-08,Paper Rex,1,1.235,230.33333333333334,24.333333333333332,15.833333333333334,11.0,8.5,80.66666666666667,144.5,22.5,4.0,1.8333333333333333,2.1666666666666665,T1,1.235,230.33333333333334,24.333333333333332,15.833333333333334,11.0,8.5,80.66666666666667,144.5,22.5,4.0,1.8333333333333333,2.1666666666666665
65,2023-04-09_DRX/TALON,2023-04-09,DRX,1,1.062,233.2,32.4,21.2,16.6,11.2,80.8,147.4,27.2,4.6,3.2,1.4,TALON,1.062,233.2,32.4,21.2,16.6,11.2,80.8,147.4,27.2,4.6,3.2,1.4
66,2023-04-09_Global Esports/ZETA DIVISION,2023-04-09,Global Esports,0,0.826,195.2,47.6,50.0,25.8,-2.4,75.8,125.6,23.0,6.6,7.2,-0.6,ZETA DIVISION,0.826,195.2,47.6,50.0,25.8,-2.4,75.8,125.6,23.0,6.6,7.2,-0.6
67,2023-04-09_KRÜ Esports/MIBR,2023-04-09,KRÜ Esports,0,1.046,196.8,47.8,52.6,23.4,-4.8,68.0,128.2,23.8,6.6,7.8,-1.2,MIBR,1.046,196.8,47.8,52.6,23.4,-4.8,68.0,128.2,23.8,6.6,7.8,-1.2
68,2023-04-09_NRG Esports/Sentinels,2023-04-09,NRG Esports,1,1.282,221.8,30.8,21.4,15.0,9.4,81.6,142.6,22.0,5.6,2.0,3.6,Sentinels,1.282,221.8,30.8,21.4,15.0,9.4,81.6,142.6,22.0,5.6,2.0,3.6
69,2023-04-10_100 Thieves/Evil Geniuses,2023-04-10,100 Thieves,1,1.22,224.0,32.2,23.6,14.4,8.6,77.8,146.8,21.2,4.2,3.8,0.4,Evil Geniuses,1.22,224.0,32.2,23.6,14.4,8.6,77.8,146.8,21.2,4.2,3.8,0.4
70,2023-04-10_Gen.G/Team Secret,2023-04-10,Gen.G,1,0.88,201.83333333333334,28.0,24.5,11.5,3.5,74.0,124.66666666666667,23.5,4.0,3.5,0.5,Team Secret,0.88,201.83333333333334,28.0,24.5,11.5,3.5,74.0,124.66666666666667,23.5,4.0,3.5,0.5
71,2023-04-12_Natus Vincere/Team Heretics,2023-04-12,Natus Vincere,1,1.266,232.6,44.2,30.0,18.4,14.2,83.2,151.0,30.2,6.0,4.6,1.4,Team Heretics,1.266,232.6,44.2,30.0,18.4,14.2,83.2,151.0,30.2,6.0,4.6,1.4
72,2023-04-13_FNATIC/Team Liquid,2023-04-13,FNATIC,1,1.292,229.2,32.4,19.6,12.4,12.8,82.6,151.8,25.8,4.8,2.8,2.0,Team Liquid,1.292,229.2,32.4,19.6,12.4,12.8,82.6,151.8,25.8,4.8,2.8,2.0
73,2023-04-13_FUT Esports/KOI,2023-04-13,FUT Esports,1,1.184,205.0,30.4,26.4,11.6,4.0,74.6,135.6,22.4,2.4,2.0,0.4,KOI,1.184,205.0,30.4,26.4,11.6,4.0,74.6,135.6,22.4,2.4,2.0,0.4
74,2023-04-14_BBL Esports/Giants Gaming,2023-04-14,BBL Esports,0,0.774,173.2,23.2,32.6,8.4,-9.4,61.2,118.2,33.0,2.8,5.0,-2.2,Giants Gaming,0.774,173.2,23.2,32.6,8.4,-9.4,61.2,118.2,33.0,2.8,5.0,-2.2
75,2023-04-14_Karmine Corp/Team Vitality,2023-04-14,Karmine Corp,0,0.8019999999999999,154.8,17.6,26.0,5.6,-8.4,59.0,98.0,27.0,2.4,4.4,-2.0,Team Vitality,0.8019999999999999,154.8,17.6,26.0,5.6,-8.4,59.0,98.0,27.0,2.4,4.4,-2.0
76,2023-04-15_100 Thieves/Cloud9,2023-04-15,100 Thieves,0,0.788,193.4,30.6,34.6,12.8,-4.0,68.4,128.8,25.6,3.0,6.2,-3.2,Cloud9,0.788,193.4,30.6,34.6,12.8,-4.0,68.4,128.8,25.6,3.0,6.2,-3.2
77,2023-04-15_DRX/Paper Rex,2023-04-15,DRX,1,1.1300000000000001,206.4,29.4,25.6,15.2,3.8,76.4,134.2,30.0,4.2,4.0,0.2,Paper Rex,1.1300000000000001,206.4,29.4,25.6,15.2,3.8,76.4,134.2,30.0,4.2,4.0,0.2
78,2023-04-15_MIBR/NRG Esports,2023-04-15,MIBR,1,1.076,210.6,62.4,56.0,22.2,6.4,74.0,140.0,29.8,7.6,9.0,-1.4,NRG Esports,1.076,210.6,62.4,56.0,22.2,6.4,74.0,140.0,29.8,7.6,9.0,-1.4
79,2023-04-15_Rex Regum Qeon/Team Secret,2023-04-15,Rex Regum Qeon,1,1.28,197.83333333333334,26.333333333333332,20.166666666666668,9.666666666666666,6.166666666666667,74.83333333333333,136.5,34.666666666666664,4.333333333333333,2.8333333333333335,1.5,Team Secret,1.28,197.83333333333334,26.333333333333332,20.166666666666668,9.666666666666666,6.166666666666667,74.83333333333333,136.5,34.666666666666664,4.333333333333333,2.8333333333333335,1.5
80,2023-04-16_DetonatioN FocusMe/ZETA DIVISION,2023-04-16,DetonatioN FocusMe,0,1.0539999999999998,160.8,22.0,31.6,15.4,-9.6,71.2,103.0,20.8,3.0,5.0,-2.0,ZETA DIVISION,1.0539999999999998,160.8,22.0,31.6,15.4,-9.6,71.2,103.0,20.8,3.0,5.0,-2.0
81,2023-04-16_Evil Geniuses/KRÜ Esports,2023-04-16,Evil Geniuses,1,1.1720000000000002,208.0,49.0,44.8,24.8,4.2,77.0,136.0,21.4,6.6,7.0,-0.4,KRÜ Esports,1.1720000000000002,208.0,49.0,44.8,24.8,4.2,77.0,136.0,21.4,6.6,7.0,-0.4
82,2023-04-16_Gen.G/T1,2023-04-16,Gen.G,1,1.1883333333333332,226.16666666666666,23.666666666666668,17.0,12.333333333333334,6.666666666666667,81.83333333333333,144.5,23.833333333333332,3.6666666666666665,2.3333333333333335,1.3333333333333333,T1,1.1883333333333332,226.16666666666666,23.666666666666668,17.0,12.333333333333334,6.666666666666667,81.83333333333333,144.5,23.833333333333332,3.6666666666666665,2.3333333333333335,1.3333333333333333
83,2023-04-16_LEVIATÁN/Sentinels,2023-04-16,LEVIATÁN,1,0.962,204.0,47.2,43.8,23.8,3.4,74.8,131.4,23.6,7.4,6.0,1.4,Sentinels,0.962,204.0,47.2,43.8,23.8,3.4,74.8,131.4,23.6,7.4,6.0,1.4
84,2023-04-17_FURIA/LOUD,2023-04-17,FURIA,0,0.724,176.6,23.4,31.0,9.0,-7.6,61.6,117.4,25.2,2.8,5.0,-2.2,LOUD,0.724,176.6,23.4,31.0,9.0,-7.6,61.6,117.4,25.2,2.8,5.0,-2.2
85,2023-04-17_Global Esports/TALON,2023-04-17,Global Esports,1,0.9483333333333334,217.16666666666666,28.0,23.0,12.333333333333334,5.0,71.83333333333333,137.66666666666666,23.166666666666668,4.0,3.3333333333333335,0.6666666666666666,TALON,0.9483333333333334,217.16666666666666,28.0,23.0,12.333333333333334,5.0,71.83333333333333,137.66666666666666,23.166666666666668,4.0,3.3333333333333335,0.6666666666666666
86,2023-04-19_Team Heretics/Team Liquid,2023-04-19,Team Heretics,0,0.778,189.8,34.4,39.4,12.6,-5.0,65.6,127.4,20.2,5.8,4.8,1.0,Team Liquid,0.778,189.8,34.4,39.4,12.6,-5.0,65.6,127.4,20.2,5.8,4.8,1.0
87,2023-04-20_FUT Esports/Giants Gaming,2023-04-20,FUT Esports,0,0.8160000000000001,186.2,27.0,33.6,10.4,-6.6,62.0,123.8,24.8,4.0,4.4,-0.4,Giants Gaming,0.8160000000000001,186.2,27.0,33.6,10.4,-6.6,62.0,123.8,24.8,4.0,4.4,-0.4
88,2023-04-21_BBL Esports/Team Vitality,2023-04-21,BBL Esports,1,0.9559999999999998,210.4,33.2,26.2,12.4,7.0,76.8,138.4,32.6,5.6,3.2,2.4,Team Vitality,0.9559999999999998,210.4,33.2,26.2,12.4,7.0,76.8,138.4,32.6,5.6,3.2,2.4
89,2023-04-21_Karmine Corp/Natus Vincere,2023-04-21,Karmine Corp,0,0.9119999999999999,173.0,26.2,30.6,11.4,-4.4,70.2,116.0,28.4,3.6,5.2,-1.6,Natus Vincere,0.9119999999999999,173.0,26.2,30.6,11.4,-4.4,70.2,116.0,28.4,3.6,5.2,-1.6
90,2023-04-21_LEVIATÁN/MIBR,2023-04-21,LEVIATÁN,1,1.366,230.0,27.6,15.6,12.6,12.0,86.2,144.4,21.2,4.0,2.6,1.4,MIBR,1.366,230.0,27.6,15.6,12.6,12.0,86.2,144.4,21.2,4.0,2.6,1.4
91,2023-04-21_LOUD/Sentinels,2023-04-21,LOUD,1,0.85,196.0,44.6,43.4,21.4,1.2,74.6,123.8,22.8,6.6,6.2,0.4,Sentinels,0.85,196.0,44.6,43.4,21.4,1.2,74.6,123.8,22.8,6.6,6.2,0.4
92,2023-04-22_100 Thieves/KRÜ Esports,2023-04-22,100 Thieves,1,0.8480000000000001,197.4,40.4,43.4,17.8,-3.0,69.8,134.6,24.2,6.2,5.6,0.6,KRÜ Esports,0.8480000000000001,197.4,40.4,43.4,17.8,-3.0,69.8,134.6,24.2,6.2,5.6,0.6
93,2023-04-22_DRX/Gen.G,2023-04-22,DRX,1,1.016,194.2,40.4,38.4,15.8,2.0,70.0,124.8,22.6,5.2,6.8,-1.6,Gen.G,1.016,194.2,40.4,38.4,15.8,2.0,70.0,124.8,22.6,5.2,6.8,-1.6
94,2023-04-22_Evil Geniuses/FURIA,2023-04-22,Evil Geniuses,0,0.958,200.6,48.2,50.8,21.8,-2.6,69.8,130.0,23.4,5.8,8.4,-2.6,FURIA,0.958,200.6,48.2,50.8,21.8,-2.6,69.8,130.0,23.4,5.8,8.4,-2.6
95,2023-04-22_Global Esports/Paper Rex,2023-04-22,Global Esports,0,1.195714285714286,202.57142857142858,29.0,31.142857142857142,12.428571428571429,-2.142857142857143,64.57142857142857,125.28571428571429,25.0,3.857142857142857,4.571428571428571,-0.7142857142857143,Paper Rex,1.195714285714286,202.57142857142858,29.0,31.142857142857142,12.428571428571429,-2.142857142857143,64.57142857142857,125.28571428571429,25.0,3.857142857142857,4.571428571428571,-0.7142857142857143
96,2023-04-23_Cloud9/NRG Esports,2023-04-23,Cloud9,1,1.1640000000000001,216.8,45.4,40.6,20.6,4.8,80.6,141.6,27.6,4.0,4.4,-0.4,NRG Esports,1.1640000000000001,216.8,45.4,40.6,20.6,4.8,80.6,141.6,27.6,4.0,4.4,-0.4
97,2023-04-23_DetonatioN FocusMe/Team Secret,2023-04-23,DetonatioN FocusMe,0,0.786,187.8,28.6,33.4,15.6,-4.8,70.2,122.6,25.2,4.0,5.0,-1.0,Team Secret,0.786,187.8,28.6,33.4,15.6,-4.8,70.2,122.6,25.2,4.0,5.0,-1.0
98,2023-04-23_MIBR/Sentinels,2023-04-23,MIBR,0,0.8219999999999998,194.4,24.8,29.2,12.2,-4.4,69.0,128.2,24.6,3.2,4.2,-1.0,Sentinels,0.8219999999999998,194.4,24.8,29.2,12.2,-4.4,69.0,128.2,24.6,3.2,4.2,-1.0
99,2023-04-23_Rex Regum Qeon/T1,2023-04-23,Rex Regum Qeon,0,0.7383333333333333,178.16666666666666,20.0,25.333333333333332,7.833333333333333,-5.333333333333333,74.5,115.5,29.333333333333332,3.5,3.0,0.5,T1,0.7383333333333333,178.16666666666666,20.0,25.333333333333332,7.833333333333333,-5.333333333333333,74.5,115.5,29.333333333333332,3.5,3.0,0.5
100,2023-04-24_100 Thieves/LEVIATÁN,2023-04-24,100 Thieves,1,0.968,199.4,50.8,50.6,26.2,0.2,75.6,129.8,23.4,7.4,7.8,-0.4,LEVIATÁN,0.968,199.4,50.8,50.6,26.2,0.2,75.6,129.8,23.4,7.4,7.8,-0.4
101,2023-04-24_Evil Geniuses/LOUD,2023-04-24,Evil Geniuses,0,1.03,189.0,34.6,41.0,15.0,-6.4,68.4,126.0,21.2,3.8,6.6,-2.8,LOUD,1.03,189.0,34.6,41.0,15.0,-6.4,68.4,126.0,21.2,3.8,6.6,-2.8
102,2023-04-24_TALON/ZETA DIVISION,2023-04-24,TALON,1,1.1366666666666667,214.16666666666666,31.166666666666668,30.666666666666668,14.166666666666666,0.5,78.33333333333333,142.16666666666666,23.0,3.8333333333333335,4.5,-0.6666666666666666,ZETA DIVISION,1.1366666666666667,214.16666666666666,31.166666666666668,30.666666666666668,14.166666666666666,0.5,78.33333333333333,142.16666666666666,23.0,3.8333333333333335,4.5,-0.6666666666666666
103,2023-04-25_Cloud9/FURIA,2023-04-25,Cloud9,1,1.0539999999999998,207.6,31.4,29.2,12.6,2.2,75.4,135.8,25.0,4.6,4.0,0.6,FURIA,1.0539999999999998,207.6,31.4,29.2,12.6,2.2,75.4,135.8,25.0,4.6,4.0,0.6
104,2023-04-25_KRÜ Esports/NRG Esports,2023-04-25,KRÜ Esports,0,0.8140000000000001,157.6,21.8,31.2,7.6,-9.4,57.6,104.4,28.8,3.4,4.6,-1.2,NRG Esports,0.8140000000000001,157.6,21.8,31.2,7.6,-9.4,57.6,104.4,28.8,3.4,4.6,-1.2
105,2023-04-26_Giants Gaming/Team Liquid,2023-04-26,Giants Gaming,0,0.834,185.0,45.4,52.8,20.0,-7.4,67.4,120.2,26.8,6.0,8.2,-2.2,Team Liquid,0.834,185.0,45.4,52.8,20.0,-7.4,67.4,120.2,26.8,6.0,8.2,-2.2
106,2023-04-27_BBL Esports/Team Heretics,2023-04-27,BBL Esports,1,1.084,217.8,50.0,40.2,25.0,9.8,81.2,141.8,28.4,7.6,5.4,2.2,Team Heretics,1.084,217.8,50.0,40.2,25.0,9.8,81.2,141.8,28.4,7.6,5.4,2.2
107,2023-04-27_KOI/Karmine Corp,2023-04-27,KOI,0,0.736,188.0,42.4,46.8,19.8,-4.4,72.4,122.0,22.2,4.8,8.0,-3.2,Karmine Corp,0.736,188.0,42.4,46.8,19.8,-4.4,72.4,122.0,22.2,4.8,8.0,-3.2
108,2023-04-28_FNATIC/FUT Esports,2023-04-28,FNATIC,1,1.298,225.4,29.0,19.4,10.0,9.6,81.8,145.2,22.8,4.2,3.0,1.2,FUT Esports,1.298,225.4,29.0,19.4,10.0,9.6,81.8,145.2,22.8,4.2,3.0,1.2
109,2023-04-28_Natus Vincere/Team Vitality,2023-04-28,Natus Vincere,1,0.99,201.0,33.6,29.6,12.8,4.0,72.2,135.6,29.8,4.8,4.4,0.4,Team Vitality,0.99,201.0,33.6,29.6,12.8,4.0,72.2,135.6,29.8,4.8,4.4,0.4
110,2023-04-29_100 Thieves/NRG Esports,2023-04-29,100 Thieves,0,0.9179999999999999,184.8,22.0,29.8,11.6,-7.8,71.2,124.0,26.8,2.8,4.4,-1.6,NRG Esports,0.9179999999999999,184.8,22.0,29.8,11.6,-7.8,71.2,124.0,26.8,2.8,4.4,-1.6
111,2023-04-29_DetonatioN FocusMe/T1,2023-04-29,DetonatioN FocusMe,0,0.8699999999999999,195.4,44.8,45.8,16.8,-1.0,70.8,125.8,27.0,5.6,8.0,-2.4,T1,0.8699999999999999,195.4,44.8,45.8,16.8,-1.0,70.8,125.8,27.0,5.6,8.0,-2.4
112,2023-04-29_FURIA/MIBR,2023-04-29,FURIA,1,1.018,200.2,30.6,26.2,15.6,4.4,77.8,129.0,25.8,5.2,3.6,1.6,MIBR,1.018,200.2,30.6,26.2,15.6,4.4,77.8,129.0,25.8,5.2,3.6,1.6
113,2023-04-29_Team Secret/ZETA DIVISION,2023-04-29,Team Secret,0,1.008,194.8,44.8,46.8,21.4,-2.0,70.6,128.8,23.8,6.2,7.4,-1.2,ZETA DIVISION,1.008,194.8,44.8,46.8,21.4,-2.0,70.6,128.8,23.8,6.2,7.4,-1.2
114,2023-04-30_Cloud9/Sentinels,2023-04-30,Cloud9,1,0.952,226.2,29.8,20.2,14.0,9.6,81.8,145.2,23.4,4.0,3.2,0.8,Sentinels,0.952,226.2,29.8,20.2,14.0,9.6,81.8,145.2,23.4,4.0,3.2,0.8
115,2023-04-30_DRX/Rex Regum Qeon,2023-04-30,DRX,1,1.1620000000000001,211.0,43.8,35.2,21.4,8.6,76.8,130.6,24.0,7.2,4.8,2.4,Rex Regum Qeon,1.1620000000000001,211.0,43.8,35.2,21.4,8.6,76.8,130.6,24.0,7.2,4.8,2.4
